Seq,Task ID,Category,Title,Implementation Status,Screen,Route,Page Entry,Depends On,Expected Files,Requirement Ref,Priority,Detail File,Detail Exists,Wave ID
15,CMP-SCR001-DEST-OVERSEAS,CMP,해외 여행지 Card Grid,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,"DATA-DESTINATIONS, DATA-SAFETY",신규 생성: `src/app/_components/scr001/destination-grid-overseas.tsx`,REQ-FUNC-006 REQ-FUNC-009,P0,TASK-CMP-SCR001-DEST-OVERSEAS.md,Y,W06
16,CMP-SCR001-DEST-DRAWER,CMP,여행지 상세 Drawer,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,DATA-DESTINATIONS,신규 생성: `src/app/_components/scr001/destination-drawer.tsx`,REQ-FUNC-004 REQ-FUNC-007,P0,TASK-CMP-SCR001-DEST-DRAWER.md,Y,W06
17,CMP-SCR001-THEME-CHIPS,CMP,여행 동기 Chip 필터,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,CMP-SCR001-DEST-DOMESTIC,신규 생성: `src/app/_components/scr001/theme-chips.tsx`,REQ-FUNC-002,P1,TASK-CMP-SCR001-THEME-CHIPS.md,Y,W07
18,CMP-SCR001-SAFETY-GRID,CMP,국가별 주의사항 Card Grid,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,DATA-SAFETY,신규 생성: `src/app/_components/scr001/safety-grid.tsx`,REQ-FUNC-046 REQ-FUNC-047 REQ-FUNC-048 REQ-FUNC-051 REQ-FUNC-052 REQ-FUNC-053,P0,TASK-CMP-SCR001-SAFETY-GRID.md,Y,W07
19,CMP-SCR001-SAFETY-DRAWER,CMP,안전정보 상세 Drawer,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,DATA-SAFETY,신규 생성: `src/app/_components/scr001/safety-drawer.tsx`,REQ-FUNC-049 REQ-FUNC-050 REQ-FUNC-054,P0,TASK-CMP-SCR001-SAFETY-DRAWER.md,Y,W06
20,CMP-SCR001-RECENT-MATES,CMP,최근 동행글 카드,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,DB-ACCESS,신규 생성: `src/app/_components/scr001/recent-mates.tsx`,,P1,TASK-CMP-SCR001-RECENT-MATES.md,Y,W06
21,CMP-SCR001-FOUNDER-SUMMARY,CMP,대표 요약 카드,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,DATA-REPRESENTATIVE,신규 생성: `src/app/_components/scr001/founder-summary.tsx`,REQ-FUNC-057,P1,TASK-CMP-SCR001-FOUNDER-SUMMARY.md,Y,W06
22,CMP-SCR001-FAVORITES,CMP,즐겨찾기 토글,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,"CMP-SCR001-DEST-DOMESTIC, CMP-SCR001-DEST-OVERSEAS",신규 생성: `src/app/_components/scr001/favorite-button.tsx`,REQ-FUNC-068,P2,TASK-CMP-SCR001-FAVORITES.md,Y,W07
24,CMP-SCR002-HERO,CMP,대표 소개 Hero,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,"CMP-SHARED-HEADER-FOOTER, DATA-REPRESENTATIVE",신규 생성: `src/app/_components/scr002/hero.tsx`,,P1,TASK-CMP-SCR002-HERO.md,Y,W09
25,CMP-SCR002-STATS,CMP,여행 지표 카드,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,신규 생성: `src/app/_components/scr002/stats.tsx`,REQ-FUNC-057,P1,TASK-CMP-SCR002-STATS.md,Y,W09
26,CMP-SCR002-INTRO,CMP,소개·철학 문단,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,신규 생성: `src/app/_components/scr002/intro.tsx`,REQ-FUNC-058,P1,TASK-CMP-SCR002-INTRO.md,Y,W09
27,CMP-SCR002-COUNTRIES,CMP,방문 국가 Chip,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,신규 생성: `src/app/_components/scr002/countries.tsx`,REQ-FUNC-059,P1,TASK-CMP-SCR002-COUNTRIES.md,Y,W09
28,CMP-SCR002-TIMELINE,CMP,여행 Timeline,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,신규 생성: `src/app/_components/scr002/timeline.tsx`,REQ-FUNC-060,P1,TASK-CMP-SCR002-TIMELINE.md,Y,W09
29,CMP-SCR002-GALLERY,CMP,여행 Gallery,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,신규 생성: `src/app/_components/scr002/gallery.tsx`,REQ-FUNC-061 REQ-NF-006,P1,TASK-CMP-SCR002-GALLERY.md,Y,W09
30,CMP-SCR002-CONTACT-LINKS,CMP,문의·SNS 링크,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,신규 생성: `src/app/_components/scr002/contact-links.tsx`,REQ-FUNC-062,P2,TASK-CMP-SCR002-CONTACT-LINKS.md,Y,W09
31,CMP-SCR002-TOP-PICKS,CMP,추천 여행지 4,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-DESTINATIONS,신규 생성: `src/app/_components/scr002/top-picks.tsx`,REQ-FUNC-063,P1,TASK-CMP-SCR002-TOP-PICKS.md,Y,W10
33,CMP-SCR003-INTRO,CMP,이용 안내 3단계,IMPLEMENT,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,CMP-SHARED-HEADER-FOOTER,신규 생성: `src/app/_components/scr003/intro.tsx`,,P1,TASK-CMP-SCR003-INTRO.md,Y,W12
34,CMP-SCR003-TABS,CMP,탭 스위처 셸,IMPLEMENT,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,CMP-SCR003-INTRO,신규 생성: `src/app/_components/scr003/tabs.tsx`,,P0,TASK-CMP-SCR003-TABS.md,Y,W13
35,CMP-SCR003-FLIGHT-FORM,CMP,항공편 Form+요약+외부이동,IMPLEMENT,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,CMP-SCR003-TABS,신규 생성: `src/app/_components/scr003/flight-form.tsx`,REQ-FUNC-011 REQ-FUNC-012 REQ-FUNC-013 REQ-FUNC-014 REQ-FUNC-015 REQ-FUNC-016 REQ-FUNC-017 REQ-FUNC-018 REQ-NF-017,P0,TASK-CMP-SCR003-FLIGHT-FORM.md,Y,W14
36,CMP-SCR003-HOTEL-FORM,CMP,숙소 Form+요약+외부이동,IMPLEMENT,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,CMP-SCR003-TABS,신규 생성: `src/app/_components/scr003/hotel-form.tsx`,REQ-FUNC-019 REQ-FUNC-020 REQ-FUNC-021 REQ-FUNC-022 REQ-FUNC-023 REQ-FUNC-024 REQ-FUNC-025 REQ-FUNC-026 REQ-NF-017,P0,TASK-CMP-SCR003-HOTEL-FORM.md,Y,W14
37,CMP-SCR003-TIPS,CMP,찾기 Tip 3개,IMPLEMENT,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"CMP-SCR003-FLIGHT-FORM, CMP-SCR003-HOTEL-FORM",신규 생성: `src/app/_components/scr003/tips.tsx`,REQ-FUNC-015,P1,TASK-CMP-SCR003-TIPS.md,Y,W15
38,CMP-SCR003-MATE-WRITE,CMP,동행 작성 Form,IMPLEMENT,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"CMP-SCR003-TABS, DB-ACCESS, AUTH-ADULT-VERIFICATION",신규 생성: `src/app/_components/scr003/mate-write-form.tsx`,REQ-FUNC-031 REQ-FUNC-032 REQ-FUNC-080,P0,TASK-CMP-SCR003-MATE-WRITE.md,Y,W14
39,CMP-SCR003-MATE-LOGIN-PROMPT,CMP,동행 탭 로그인 유도,IMPLEMENT,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"CMP-SCR003-TABS, AUTH-ADULT-VERIFICATION",신규 생성: `src/app/_components/scr003/mate-login-prompt.tsx`,REQ-FUNC-027,P0,TASK-CMP-SCR003-MATE-LOGIN-PROMPT.md,Y,W14
41,CMP-SCR004-INTRO,CMP,동행 찾기 Intro,IMPLEMENT,SCR-004,`/mates`,`src/app/mates/page.tsx`,CMP-SHARED-HEADER-FOOTER,신규 생성: `src/app/_components/scr004/intro.tsx`,,P1,TASK-CMP-SCR004-INTRO.md,Y,W17
42,CMP-SCR004-FILTER,CMP,검색 Filter+결과 요약,IMPLEMENT,SCR-004,`/mates`,`src/app/mates/page.tsx`,DB-ACCESS,신규 생성: `src/app/_components/scr004/filter.tsx`,REQ-FUNC-030,P0,TASK-CMP-SCR004-FILTER.md,Y,W17
43,CMP-SCR004-LIST,CMP,동행글 Card 목록,IMPLEMENT,SCR-004,`/mates`,`src/app/mates/page.tsx`,CMP-SCR004-FILTER,신규 생성: `src/app/_components/scr004/mate-list.tsx`,REQ-FUNC-033 REQ-FUNC-037,P0,TASK-CMP-SCR004-LIST.md,Y,W18
44,CMP-SCR004-DETAIL,CMP,목록·상세 분할 패널,IMPLEMENT,SCR-004,`/mates`,`src/app/mates/page.tsx`,"CMP-SCR004-LIST, DB-ACCESS",신규 생성: `src/app/_components/scr004/detail-panel.tsx`,REQ-FUNC-033 REQ-FUNC-040,P0,TASK-CMP-SCR004-DETAIL.md,Y,W19
45,CMP-SCR004-APPLICATION,CMP,참가 신청 Form,IMPLEMENT,SCR-004,`/mates`,`src/app/mates/page.tsx`,"CMP-SCR004-DETAIL, AUTH-ADULT-VERIFICATION",신규 생성: `src/app/_components/scr004/application-form.tsx`,REQ-FUNC-034 REQ-FUNC-035,P0,TASK-CMP-SCR004-APPLICATION.md,Y,W20
46,CMP-SCR004-REPORT,CMP,신고 모달,IMPLEMENT,SCR-004,`/mates`,`src/app/mates/page.tsx`,"CMP-SCR004-DETAIL, DB-ACCESS",신규 생성: `src/app/_components/scr004/report-modal.tsx`,REQ-FUNC-039,P1,TASK-CMP-SCR004-REPORT.md,Y,W20
47,CMP-SCR004-SAFETY-NOTICE,CMP,신청 방법+안전 안내,IMPLEMENT,SCR-004,`/mates`,`src/app/mates/page.tsx`,CMP-SCR004-REPORT,신규 생성: `src/app/_components/scr004/safety-notice.tsx`,,P1,TASK-CMP-SCR004-SAFETY-NOTICE.md,Y,W21
49,CMP-SCR005-AUTH,CMP,로그인/가입/재설정,IMPLEMENT,SCR-005,`/account`,`src/app/account/page.tsx`,AUTH-SUPABASE-SETUP,신규 생성: `src/app/_components/scr005/auth-tab.tsx`,REQ-FUNC-066 REQ-FUNC-027,P0,TASK-CMP-SCR005-AUTH.md,Y,W23
50,CMP-SCR005-PROFILE,CMP,프로필 요약·수정,IMPLEMENT,SCR-005,`/account`,`src/app/account/page.tsx`,"AUTH-ADULT-VERIFICATION, DB-ACCESS",신규 생성: `src/app/_components/scr005/profile-tab.tsx`,REQ-FUNC-028 REQ-FUNC-029,P0,TASK-CMP-SCR005-PROFILE.md,Y,W23
51,CMP-SCR005-MY-ACTIVITY,CMP,내 활동(글/요청/차단),IMPLEMENT,SCR-005,`/account`,`src/app/account/page.tsx`,DB-ACCESS,신규 생성: `src/app/_components/scr005/my-activity-tab.tsx`,REQ-FUNC-036 REQ-FUNC-038 REQ-FUNC-040,P0,TASK-CMP-SCR005-MY-ACTIVITY.md,Y,W23
52,CMP-SCR005-ADMIN,CMP,관리자 탭,IMPLEMENT,SCR-005,`/account`,`src/app/account/page.tsx`,DB-ACCESS,신규 생성: `src/app/_components/scr005/admin-tab.tsx`,REQ-FUNC-041 REQ-FUNC-077,P0,TASK-CMP-SCR005-ADMIN.md,Y,W23
53,CMP-SCR005-ROLE-SHELL,CMP,역할별 탭 셸,IMPLEMENT,SCR-005,`/account`,`src/app/account/page.tsx`,AUTH-SUPABASE-SETUP,신규 생성: `src/app/_components/scr005/role-shell.tsx`,,P0,TASK-CMP-SCR005-ROLE-SHELL.md,Y,W23
1,DATA-DESTINATIONS,DATA,여행지 정적 데이터,IMPLEMENT,N/A,N/A,N/A,없음,신규 생성: `src/data/destinations.ts`,REQ-FUNC-004 REQ-FUNC-007 REQ-FUNC-063 REQ-NF-026,P0,TASK-DATA-DESTINATIONS.md,Y,W01
2,DATA-SAFETY,DATA,국가 안전정보 정적 데이터,IMPLEMENT,N/A,N/A,N/A,DATA-DESTINATIONS,신규 생성: `src/data/country-safety.ts`,REQ-FUNC-046 REQ-FUNC-047 REQ-FUNC-048 REQ-FUNC-052 REQ-FUNC-053 REQ-NF-027 REQ-NF-028,P0,TASK-DATA-SAFETY.md,Y,W02
3,DATA-REPRESENTATIVE,DATA,대표 소개 정적 데이터,IMPLEMENT,N/A,N/A,N/A,DATA-DESTINATIONS,신규 생성: `src/data/representative.ts`,REQ-FUNC-057 REQ-FUNC-058 REQ-FUNC-059 REQ-FUNC-060 REQ-FUNC-061 REQ-FUNC-062,P0,TASK-DATA-REPRESENTATIVE.md,Y,W02
4,DB-SCHEMA-BASE,DB,핵심 테이블 스키마,IMPLEMENT,N/A,N/A,N/A,없음,신규 생성: `supabase/migrations/0001_schema_base.sql`,REQ-FUNC-028 REQ-FUNC-031 REQ-FUNC-034 REQ-FUNC-039 REQ-FUNC-040 REQ-FUNC-077,P0,TASK-DB-SCHEMA-BASE.md,Y,W03
5,DB-RLS-BASE,DB,RLS 정책,IMPLEMENT,N/A,N/A,N/A,DB-SCHEMA-BASE,신규 생성: `supabase/migrations/0002_rls_base.sql`,REQ-FUNC-044 REQ-NF-013,P0,TASK-DB-RLS-BASE.md,Y,W04
6,DB-ACCESS,DB,데이터 접근 계층,IMPLEMENT,N/A,N/A,N/A,"DB-SCHEMA-BASE, DB-RLS-BASE","신규 생성: `src/lib/db/mate.ts`, `src/lib/db/report.ts`, `src/lib/db/outbound-url.ts`, `src/lib/db/block.ts`",REQ-FUNC-030 REQ-FUNC-031 REQ-FUNC-032 REQ-FUNC-033 REQ-FUNC-034 REQ-FUNC-035 REQ-FUNC-036 REQ-FUNC-037 REQ-FUNC-038 REQ-FUNC-039 REQ-FUNC-040 REQ-FUNC-041 REQ-FUNC-077 REQ-NF-014 REQ-NF-015,P0,TASK-DB-ACCESS.md,Y,W05
7,DB-SEED-BASE,DB,기본 시드 데이터,IMPLEMENT,N/A,N/A,N/A,DB-SCHEMA-BASE,신규 생성: `supabase/seed/base.sql`,,P2,TASK-DB-SEED-BASE.md,Y,W04
8,AUTH-SUPABASE-SETUP,AUTH,Supabase Auth 연동,IMPLEMENT,N/A,N/A,N/A,DB-SCHEMA-BASE,"신규 생성: `src/lib/supabase/client.ts`, `src/lib/supabase/server.ts`, `src/app/auth/callback/route.ts`",REQ-FUNC-066 REQ-NF-012 REQ-NF-014 REQ-NF-016,P0,TASK-AUTH-SUPABASE-SETUP.md,Y,W04
9,AUTH-ADULT-VERIFICATION,AUTH,성인 확인·쓰기 게이트,IMPLEMENT,N/A,N/A,N/A,AUTH-SUPABASE-SETUP,신규 생성: `src/lib/auth/adult-gate.ts`,REQ-FUNC-027 REQ-FUNC-028,P0,TASK-AUTH-ADULT-VERIFICATION.md,Y,W05
55,UNIT-TRAVEL-DATES,UNIT,날짜 검증 단위 테스트,IMPLEMENT,,,,"CMP-SCR003-FLIGHT-FORM, CMP-SCR003-HOTEL-FORM",신규 생성: `tests/unit/travel-dates.spec.ts`,REQ-FUNC-013 REQ-FUNC-021,P0,TASK-UNIT-TRAVEL-DATES.md,Y,W25
56,UNIT-CONTACT-DETECTION,UNIT,연락처 탐지 단위 테스트,IMPLEMENT,,,,CMP-SCR003-MATE-WRITE,신규 생성: `tests/unit/contact-detection.spec.ts`,REQ-FUNC-032,P0,TASK-UNIT-CONTACT-DETECTION.md,Y,W25
57,UNIT-MATE-STATE,UNIT,모집글/신청 상태 전이 단위 테스트,IMPLEMENT,,,,"CMP-SCR004-LIST, CMP-SCR004-APPLICATION",신규 생성: `tests/unit/mate-state.spec.ts`,REQ-FUNC-035 REQ-FUNC-037,P0,TASK-UNIT-MATE-STATE.md,Y,W25
58,TEST-RLS-BASIC,TEST,RLS 통합 테스트,IMPLEMENT,,,,DB-RLS-BASE,신규 생성: `tests/integration/rls-basic.spec.ts`,REQ-FUNC-044 REQ-NF-013,P0,TASK-TEST-RLS-BASIC.md,Y,W25
59,E2E-PUBLIC-SMOKE,E2E,공개 화면 Smoke(SCR-001/002),IMPLEMENT(부분),,,,"PAGE-SCR001, PAGE-SCR002",신규 생성: `tests/e2e/public-smoke.spec.ts`,REQ-NF-031,P0,TASK-E2E-PUBLIC-SMOKE.md,Y,W25
60,E2E-TRAVEL-TOOLS,E2E,여행 도구 Smoke(SCR-003),IMPLEMENT(부분),,,,PAGE-SCR003,신규 생성: `tests/e2e/travel-tools.spec.ts`,REQ-NF-031,P0,TASK-E2E-TRAVEL-TOOLS.md,Y,W25
61,E2E-MATE-AUTH,E2E,동행·계정 Smoke(SCR-004/005),IMPLEMENT(부분),,,,"PAGE-SCR004, PAGE-SCR005",신규 생성: `tests/e2e/mate-auth.spec.ts`,REQ-NF-031,P0,TASK-E2E-MATE-AUTH.md,Y,W25
62,CI-LINT-BUILD,CI,CI 파이프라인(Lint/Build/Test),IMPLEMENT(부분),,,,"E2E-PUBLIC-SMOKE, E2E-TRAVEL-TOOLS, E2E-MATE-AUTH, UNIT-TRAVEL-DATES, UNIT-CONTACT-DETECTION, UNIT-MATE-STATE",신규 생성: `.github/workflows/ci.yml`,REQ-NF-031,P0,TASK-CI-LINT-BUILD.md,Y,W26
63,DEPLOY-VERCEL,DEPLOY,Vercel 배포 설정 확인,IMPLEMENT,,,,CI-LINT-BUILD,신규 생성: `docs/ops/vercel-checklist.md`,REQ-NF-016 REQ-NF-034,P1,TASK-DEPLOY-VERCEL.md,Y,W27
64,DEPLOY-SUPABASE-CHECK,DEPLOY,Supabase 배포 확인,IMPLEMENT,,,,"DB-RLS-BASE, AUTH-SUPABASE-SETUP",신규 생성: `docs/ops/supabase-checklist.md`,REQ-NF-012 REQ-NF-013,P1,TASK-DEPLOY-SUPABASE-CHECK.md,Y,W27
